               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034094,            0.066549,            0.051322,             0.74585,             0.33976,             0.35902,             0.25955,            0.030382,            0.079756,            0.046915,           0.0032059,           0.0032059,           0.0032059
                  37,             0.03323,             0.06484,             0.05037,             0.73508,             0.34577,             0.36417,             0.26667,            0.029987,             0.07933,            0.046203,           0.0030118,           0.0030118,           0.0030118
                  38,            0.033375,             0.06334,            0.050423,             0.75901,              0.3468,             0.37157,             0.26917,            0.030275,            0.079958,            0.045928,           0.0028176,           0.0028176,           0.0028176
                  39,            0.032622,            0.063934,            0.048852,             0.75104,             0.34968,             0.37409,             0.27355,            0.030238,            0.079369,            0.045327,           0.0026235,           0.0026235,           0.0026235
                  40,            0.033218,            0.064221,            0.049314,              0.7531,             0.33762,             0.37833,             0.27621,            0.029741,            0.079241,            0.044892,           0.0024294,           0.0024294,           0.0024294
                  41,            0.032684,            0.064873,            0.048814,             0.76496,             0.34375,              0.3813,             0.28001,            0.029499,            0.079258,            0.044286,           0.0022353,           0.0022353,           0.0022353
                  42,             0.03212,            0.063399,            0.048315,             0.76427,             0.33901,             0.37943,             0.27857,            0.029668,            0.079604,            0.044083,           0.0020412,           0.0020412,           0.0020412
                  43,            0.031938,            0.062482,            0.047289,             0.75174,             0.35983,             0.38425,             0.28387,            0.029247,            0.078871,            0.043381,           0.0018471,           0.0018471,           0.0018471
                  44,             0.03144,            0.062212,            0.047493,             0.76515,             0.36178,             0.38745,             0.28032,            0.029642,            0.079394,            0.043088,           0.0016529,           0.0016529,           0.0016529
                  45,             0.03133,            0.061688,            0.046626,             0.77634,             0.34086,             0.38987,             0.28822,            0.029358,            0.079696,            0.042692,           0.0014588,           0.0014588,           0.0014588
                  46,            0.030882,            0.062588,            0.046309,             0.77288,             0.34797,             0.39483,              0.2942,            0.029006,            0.078572,            0.042285,           0.0012647,           0.0012647,           0.0012647
                  47,            0.031269,            0.062171,            0.046565,             0.77879,             0.35824,             0.39785,             0.29723,            0.029073,            0.078741,            0.042086,           0.0010706,           0.0010706,           0.0010706
                  48,            0.031157,            0.062721,            0.045963,             0.77962,             0.35484,             0.40258,             0.30241,            0.029029,            0.078698,              0.0418,          0.00087647,          0.00087647,          0.00087647
                  49,            0.031225,              0.0626,            0.046173,             0.78528,             0.35877,             0.40753,             0.30686,             0.02888,            0.078173,            0.041354,          0.00068235,          0.00068235,          0.00068235
                  50,            0.031069,            0.062781,            0.046039,             0.78806,             0.35689,             0.40522,             0.30486,            0.028844,            0.078021,            0.041226,          0.00048824,          0.00048824,          0.00048824
